model,env,buffer_size,history_window,success,steps,reward,tokens,time
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaCrossingS9N2-v0,3,0,0.1,74.8,0.09333333333333334,194.3,43.3964195728302
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaCrossingS9N2-v0,3,1,0.3,74.2,0.28833333333333333,177.2,5.9798232316970825
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaCrossingS9N2-v0,3,2,0.0,100.0,0.0,258.9,9.370392990112304
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaCrossingS9N2-v0,5,0,0.1,74.8,0.09333333333333334,193.7,43.42082026004791
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaCrossingS9N2-v0,5,1,0.3,74.2,0.28833333333333333,177.2,5.998415160179138
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaCrossingS9N2-v0,5,2,0.0,100.0,0.0,259.0,9.436878347396851
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,2,0,0.0,62.0,0.0,184.1,18.693109846115114
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,2,1,0.1,90.9,0.094375,226.1,6.843786239624023
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,2,2,0.0,91.5,0.0,250.7,7.523719143867493
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,3,0,0.0,62.0,0.0,184.1,18.670006418228148
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,3,1,0.1,90.9,0.094375,226.1,6.85890691280365
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,3,2,0.0,90.8,0.0,249.2,7.529586243629455
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,5,0,0.0,62.0,0.0,181.4,18.577636933326723
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,5,1,0.1,90.9,0.094375,226.1,6.860883212089538
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS6-v0,5,2,0.0,86.0,0.0,237.2,7.143877172470093
