env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time,most_used_template,learned_templates_count,total_templates
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.736771821975708,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7336544990539551,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7395431995391846,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7282953262329102,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7234985828399658,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7240939140319824,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7314646244049072,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7254390716552734,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7244110107421875,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,1,23,0.7262182235717773,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.739060640335083,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.7349224090576172,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.736283540725708,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.7299923896789551,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.7286102771759033,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.7292327880859375,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.7418105602264404,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.7248373031616211,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.7287895679473877,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,3,2,23,0.7243514060974121,Direct Navigation,0,3
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7397356033325195,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7305729389190674,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7287728786468506,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7335162162780762,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7390289306640625,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7282726764678955,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7239747047424316,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7279629707336426,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7251403331756592,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,0,23,0.7295622825622559,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7271091938018799,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7275009155273438,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.724848747253418,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7287964820861816,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7253844738006592,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7327649593353271,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7229998111724854,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7239813804626465,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7265009880065918,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,1,23,0.7333250045776367,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7347772121429443,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7314155101776123,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7310791015625,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7260253429412842,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7301957607269287,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,5,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7267765998840332,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,6,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7263357639312744,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,7,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7270081043243408,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,8,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7257959842681885,Direct Navigation,0,5
MiniGrid-Empty-8x8-v0,9,Qwen/Qwen2.5-3B-Instruct,True,11,0.961328125,5,2,23,0.7300355434417725,Direct Navigation,0,5
MiniGrid-LavaGapS6-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,20.952314853668213,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,292,20.195194482803345,Direct Navigation,0,2
MiniGrid-LavaGapS6-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,20.49675226211548,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,20.552014112472534,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,299,20.339813232421875,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,286,20.040967226028442,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,20.5010347366333,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,7,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,20.542547464370728,Obstacle Avoidance,0,2
